Frame,Time,Left_Shoulder_X,Left_Shoulder_Y,Left_Elbow_X,Left_Elbow_Y,Left_Wrist_X,Left_Wrist_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Elbow_X,Right_Elbow_Y,Right_Wrist_X,Right_Wrist_Y,Left_Angle,Right_Angle,Left_Wrist_Y,Right_Wrist_Y,Left_State,Right_State
0,0.0,384.1017532348633,120.61217308044434,474.12742614746094,373.7859535217285,388.8298797607422,398.5926818847656,45.12320518493652,99.84326362609863,-61.72018051147461,377.09524154663086,161.94005966186523,405.0608253479004,86.64099532197747,76.05209921787456,398.5926818847656,405.0608253479004,RESTING,RESTING
1,0.03333333333333333,402.5514602661133,203.62914562225342,514.4315338134766,419.4311714172363,390.9316635131836,237.5864839553833,89.63498115539551,193.27488899230957,29.974675178527832,413.70509147644043,58.38406562805176,609.3850135803223,46.7097159215765,116.3234764619217,237.5864839553833,609.3850135803223,EXTENDED,RESTING
2,0.06666666666666667,400.59059143066406,221.25563621520996,533.7235260009766,417.3106098175049,481.22764587402344,231.83682918548584,80.77138900756836,237.71405696868896,25.672802925109863,446.9949531555176,18.372766971588135,662.1441650390625,37.264933405715986,133.28012705470329,231.83682918548584,662.1441650390625,FLEXED,RESTING
3,0.1,400.2107620239258,225.00778198242188,544.1641998291016,432.68205642700195,502.88806915283203,218.2249402999878,76.29132747650146,253.70183944702148,15.30423879623413,461.8136215209961,-43.64436149597168,668.096866607666,33.9072323605692,144.86381896205216,218.2249402999878,668.096866607666,FLEXED,RESTING
4,0.13333333333333333,401.78600311279297,228.88914585113525,549.7463989257812,435.1343250274658,509.29141998291016,222.54127979278564,70.7445764541626,268.2905101776123,2.9077357053756714,475.0183296203613,-39.44896697998047,701.8122482299805,32.102086777000906,150.3734208399852,222.54127979278564,701.8122482299805,FLEXED,RESTING
5,0.16666666666666666,400.75103759765625,222.73046493530273,549.0838623046875,436.3135814666748,518.434944152832,192.64843940734863,61.95626258850098,276.9445323944092,-3.5130590200424194,480.9357261657715,-50.41841506958008,696.1796951293945,20.296023723129956,170.06298667037294,192.64843940734863,696.1796951293945,FLEXED,RESTING
6,0.2,397.70851135253906,212.93176174163818,569.7426605224609,433.5505199432373,507.4099349975586,102.94032096862793,61.60918712615967,268.2276248931885,-6.922791004180908,484.0445137023926,-19.337596893310547,692.1445655822754,24.394192554830717,171.90341887799144,102.94032096862793,692.1445655822754,FLEXED,RESTING
7,0.23333333333333334,395.21366119384766,211.50884628295898,572.1554565429688,420.48354148864746,495.37208557128906,71.74586534500122,60.95123291015625,270.93403816223145,-9.046618342399597,482.7037811279297,-22.54178524017334,710.4799461364746,26.286731947246892,171.4847347625283,71.74586534500122,710.4799461364746,FLEXED,RESTING
8,0.26666666666666666,389.6849060058594,207.33641624450684,563.0077362060547,376.53076171875,491.97330474853516,67.3518419265747,62.596983909606934,263.3638858795166,-7.4650490283966064,475.4014778137207,-19.1689932346344,703.1201362609863,28.07016868049459,168.493253157966,67.3518419265747,703.1201362609863,FLEXED,RESTING
9,0.3,389.7933578491211,205.26941299438477,574.339714050293,379.5638179779053,507.4064254760742,126.52264595031738,64.27197933197021,262.1011161804199,-8.200260996818542,470.7381534576416,-7.089649438858032,672.2260093688965,29.4579065824301,166.1166844073476,126.52264595031738,672.2260093688965,FLEXED,RESTING
