Frame,Time,Left_Shoulder_X,Left_Shoulder_Y,Left_Elbow_X,Left_Elbow_Y,Left_Wrist_X,Left_Wrist_Y,Right_Shoulder_X,Right_Shoulder_Y,Right_Elbow_X,Right_Elbow_Y,Right_Wrist_X,Right_Wrist_Y,Left_Angle,Right_Angle,Left_State,Right_State
0,0.0,535.0099861621857,276.1320233345032,551.2553751468658,340.25417268276215,559.598708152771,401.61045491695404,454.00174856185913,275.2081632614136,445.6448167562485,338.7515991926193,427.6616781949997,393.82891058921814,173.52689594317155,169.41003792542605,RESTING,RESTING
1,0.02,535.0108444690704,275.85149109363556,551.2599885463715,340.22002816200256,559.5739245414734,401.75051987171173,454.0046989917755,275.3092557191849,445.71836292743683,338.6576145887375,427.7734726667404,393.71110796928406,173.52716650575329,169.40438956581042,RESTING,RESTING
2,0.04,535.0105226039886,275.6945013999939,551.2718975543976,340.21815061569214,559.5521986484528,401.92161798477173,454.0077030658722,275.43751895427704,445.81650495529175,338.6114001274109,427.9089242219925,393.5186594724655,173.51741902480816,169.3777531788438,RESTING,RESTING
3,0.06,535.0083768367767,275.54706037044525,551.2829482555389,340.1985168457031,559.5293462276459,402.0062953233719,454.0173053741455,275.5105823278427,445.9518492221832,338.54284286499023,428.00725400447845,393.3803379535675,173.5056007724014,169.32632531596252,RESTING,RESTING
4,0.08,535.0063383579254,275.3819167613983,551.2905120849609,340.17392098903656,559.5149159431458,402.0677983760834,454.0229916572571,275.54789185523987,446.0471212863922,338.48380744457245,428.0867278575897,393.2563126087189,173.49670673309424,169.27462319371259,RESTING,RESTING
5,0.1,535.0053191184998,275.2683788537979,551.2949109077454,340.10748267173767,559.5136284828186,402.0756036043167,454.0477216243744,275.5867838859558,446.1550533771515,338.4130507707596,428.1380385160446,393.1807816028595,173.48179478750095,169.1827464306313,RESTING,RESTING
6,0.12,535.0059628486633,275.17208755016327,551.3062298297882,340.04820585250854,559.5072448253632,402.08472311496735,454.05582189559937,275.62200129032135,446.2395966053009,338.4019732475281,428.1708687543869,393.15532743930817,173.46168565040634,169.06978021288506,RESTING,RESTING
7,0.14,535.0054800510406,275.1434415578842,551.3112723827362,339.98423516750336,559.504508972168,402.0899534225464,454.0570020675659,275.6377190351486,446.2732583284378,338.38716745376587,428.1837433576584,393.14352571964264,173.44201575933536,168.96277258492447,RESTING,RESTING
8,0.16,535.0052118301392,275.11753141880035,551.3145983219147,339.93901312351227,559.4995737075806,402.0913749933243,454.0581285953522,275.65644085407257,446.3067591190338,338.36123049259186,428.2005339860916,393.1144505739212,173.4238842069356,168.8780743992492,RESTING,RESTING
9,0.18,535.0049436092377,275.11254251003265,551.316100358963,339.9247705936432,559.496945142746,402.0906776189804,454.0594160556793,275.73384940624237,446.3336080312729,338.35870921611786,428.20235788822174,393.0402606725693,173.4058026164619,168.8021935353708,RESTING,RESTING
